"RECORD_NUM","SET_KEY","COMMIT_PID","TABLE_DEFN_PID","PLUGIN_KEY","LAST_RECORD_PID","VERSION_NAME","SQL_NAME","STORAGE_TYPE_KEY","RECORD_VALID_KEY","HAS_FLAGS","HAS_NOTEPADS"
"1","1","0","101","1","0","1","SCHEMA_DEFNS","1","0","",""
"2","1","0","102","1","0","1","PACKAGE_DEFNS","1","0","",""
"3","1","0","103","1","0","1","PLUGIN_DEFNS","1","0","",""
"4","1","0","104","1","0","1","TABLE_DEFNS","2","0","",""
"5","1","0","105","1","0","1","RECORD_VALID_DEFNS","2","0","",""
"6","1","0","107","1","0","1","FIELD_DEFNS","2","0","",""
"7","1","0","108","1","0","1","FIELD_TYPE_DEFNS","2","0","",""
"8","1","0","109","1","0","1","FIELD_DATA_TYPE_DEFNS","2","0","",""
"9","1","0","110","1","0","1","FIELD_FORMAT_DEFNS","2","0","",""
"10","1","0","111","1","0","1","FIELD_VALID_DEFNS","2","0","",""
"11","1","0","112","1","0","1","FIELD_RECENTS","3","0","",""
"12","1","0","113","1","0","1","RECORD_RULE_DEFNS","2","0","",""
"13","1","0","114","1","0","1","FIELD_RULE_DEFNS","2","0","",""
"14","1","0","126","1","0","1","PROJECTS","0","0","",""
"15","1","0","127","1","0","1","DISPLAY_TYPES_DEFNS","0","0","",""
"16","1","0","128","1","0","1","SESSIONS","0","0","",""
"17","1","0","129","1","0","1","COMMIT_LOGS","0","0","",""
"18","1","0","130","1","0","1","COMMIT_ITEMS","0","0","",""
"19","1","0","131","1","0","1","USERS","0","0","",""
"20","1","0","132","1","0","1","USER_GROUP_DEFNS","0","0","",""
"21","1","0","133","1","0","1","USER_TYPE_DEFNS","0","0","",""
"22","1","0","134","1","0","1","USER_MESSAGES","0","0","",""
"23","1","0","135","1","0","1","PROJECT_SERVERS","0","0","",""
"24","1","0","152","1","0","1","ENTITY_NAME_TAG_DEFNS","0","0","",""
"25","1","0","153","1","0","1","TAG_GROUP_DEFNS","0","0","",""
"26","1","0","154","1","0","1","TAG_RULE_DEFNS","0","0","",""
"27","1","0","155","1","0","1","THEME_DEFNS","0","0","",""
"28","1","0","156","1","0","1","LIFE_PHASE_DEFNS","0","0","",""
"29","1","0","157","1","0","1","ENCODING_TYPE_DEFNS","0","0","",""
"30","1","0","158","1","0","1","TEMPLATE_TYPE_DEFNS","0","0","",""
"31","1","0","159","1","0","1","PUBLISH_TYPE_DEFNS","0","0","",""
"32","1","0","160","1","0","1","SENTENCE_TYPE_DEFNS","0","0","",""
"33","1","0","161","1","0","1","NAMED_MEMO_TYPE_DEFNS","0","0","",""
"34","1","0","162","1","0","1","NAME_STYLE_TYPE_DEFNS","0","0","",""
"35","1","0","163","1","0","1","NAME_ELMNT_TYPE_DEFNS","0","0","",""
"36","1","0","164","1","0","1","NAME_ELMNT_INPUT_DEFNS","0","0","",""
"37","1","0","165","1","0","1","NAME_TEMPLATE_TYPE_DEFNS","0","0","",""
"38","1","0","166","1","0","1","NAME_OUTPUT_TEMPLATE_DEFNS","0","0","",""
"39","1","0","167","1","0","1","MEMO_SET_DEFNS","0","0","",""
"40","1","0","168","1","0","1","SENTENCE_SET_DEFNS","0","0","",""
"41","1","0","169","1","0","1","ENTITY_SUB_TYPE_DEFNS","0","0","",""
"42","1","0","170","1","0","1","SENTENCE_STYLE_DEFNS","0","0","",""
"43","1","0","201","1","0","1","LANGUAGE_DEFNS","0","0","",""
"44","1","0","202","1","0","1","LANGUAGE_USES","0","0","",""
"45","1","0","203","1","0","1","LANGUAGE_NAME_TRANS","0","0","",""
"46","1","0","204","1","0","1","LABEL_TRANS","0","0","",""
"47","1","0","205","1","0","1","GIU_MAPPED_TRANS","0","0","",""
"48","1","0","206","1","0","1","GUI_20_DICT_TRANS","0","0","",""
"49","1","0","207","1","0","1","GUI_60_DICT_TRANS","0","0","",""
"50","1","0","208","1","0","1","GUI_160_DICT_TRANS","0","0","",""
"51","1","0","209","1","0","1","GUI_400_DICT_TRANS","0","0","",""
"52","1","0","210","1","0","1","DATA_20_DICT_TRANS","0","0","",""
"53","1","0","211","1","0","1","DATA_60_DICT_TRANS","0","0","",""
"54","1","0","212","1","0","1","DATA_160_DICT_TRANS","0","0","",""
"55","1","0","213","1","0","1","DATA_400_DICT_TRANS","0","0","",""
"56","1","0","214","1","0","1","ROLE_NAME_TRANS","0","0","",""
"57","1","0","215","1","0","1","ROLE_PAIR_NAME_TRANS","0","0","",""
"58","1","0","216","1","0","1","REMINDER_TRANS","0","0","",""
"59","1","0","217","1","0","1","MESSAGE_TRANS","0","0","",""
"60","1","0","218","1","0","1","SENTENCE_TRANS","0","0","",""
"61","1","0","219","1","0","1","NAMED_MEMO_TRANS","0","0","",""
"62","1","0","220","1","0","1","OUTPUT_TEMPLATE_TRANS","0","0","",""
"63","1","0","251","1","0","1","FLAG_DEFNS","0","0","",""
"64","1","0","252","1","0","1","FLAG_STATE_DEFNS","0","0","",""
"65","1","0","253","1","0","1","NOTEPAD_DEFNS","0","0","",""
"66","1","0","254","1","0","1","ACCENT_TYPE_DEFNS","0","0","",""
"67","1","0","255","1","0","1","ACCENT_COLOR_DEFNS","0","0","",""
"68","1","0","256","1","0","1","ACCENT_FLAG_LINKS","0","0","",""
"69","1","0","257","1","0","1","ACCENT_THEME_LINKS","0","0","",""
"70","1","0","258","1","0","1","ACCENT_FLAG_STATE_DEFNS","0","0","",""
"71","1","0","259","1","0","1","ACCENT_THEME_STATE_DEFNS","0","0","",""
"72","1","0","301","1","0","1","GUI_LANGUAGES","0","0","",""
"73","1","0","302","1","0","1","GUI_LANGUAGE_NAMES","0","0","",""
"74","1","0","303","1","0","1","GUI_VIEWPOINT_CONFIGS","0","0","",""
"75","1","0","304","1","0","1","GUI_VIEWPOINT_ELEMENTS","0","0","",""
"76","1","0","305","1","0","1","GUI_SCREEN_CONFIGS","0","0","",""
"77","1","0","306","1","0","1","GUI_SCREEN_DEFNS","0","0","",""
"78","1","0","307","1","0","1","GUI_ELEMENTS","0","0","",""
"79","1","0","308","1","0","1","GUI_ELEMENT_SETTINGS","0","0","",""
"80","1","0","309","1","0","1","GUI_ELEMENT_TYPE_DEFN","0","0","",""
"81","1","0","351","1","0","1","SUBSET_DEFNS","0","0","",""
"82","1","0","352","1","0","1","SUBSET_TYPE_DEFNS","0","0","",""
"83","1","0","353","1","0","1","SUBSET_SINGLE_DEFNS","0","0","",""
"84","1","0","354","1","0","1","SUBSET_PAIR_DEFNS","0","0","",""
"85","1","0","355","1","0","1","SUBSET_MIX_DEFNS","0","0","",""
"86","1","0","356","1","0","1","SUBSET_FILTER_DEFNS","0","0","",""
"87","1","0","357","1","0","1","SUBSET_FILTER_ORDERS","0","0","",""
"88","1","0","358","1","0","1","SUBSET_FILTER_JOINS","0","0","",""
"89","1","0","359","1","0","1","SUBSET_FILTER_ACTIONS","0","0","",""
"90","1","0","401","1","0","1","BIOS","0","0","",""
"91","1","0","403","1","0","1","BIO_NOTEPADS","0","0","",""
"92","1","0","404","1","0","1","BIO_NAMES","0","0","",""
"93","1","0","405","1","0","1","BIO_NAME_PARTS","0","0","",""
"94","1","0","406","1","0","1","BIO_NAME_MAPS","0","0","",""
"95","1","0","407","1","0","1","BIO_LIFE_LINKS","0","0","",""
"96","1","0","501","1","0","1","OCCASN_TAG_DEFNS","0","0","",""
"97","1","0","502","1","0","1","OCCASNS","0","0","",""
"98","1","0","503","1","0","1","OCCASN_ASSOC_TAG_DEFNS","0","0","",""
"99","1","0","504","1","0","1","OCCASN_ASSOCS","0","0","",""
"100","1","0","505","1","0","1","OCCASN_BTWN_ASSOC_TAG_DEFNS","0","0","",""
"101","1","0","506","1","0","1","OCCASN_BTWN_ASSOCS","0","0","",""
"102","1","0","507","1","0","1","OCCASN_TIMELINE_DEFNS","0","0","",""
"103","1","0","508","1","0","1","OCCASN_TIMELINE_ELEMNTS","0","0","",""
"104","1","0","510","1","0","1","OCCASN_NOTEPADS","0","0","",""
"105","1","0","651","1","0","1","INERTS","0","0","",""
"106","1","0","652","1","0","1","INERT_NAMES","0","0","",""
"107","1","0","653","1","0","1","INERT_NAME_PARTS","0","0","",""
"108","1","0","654","1","0","1","INERT_NAME_MAPS","0","0","",""
"109","1","0","656","1","0","1","INERT_NOTEPADS","0","0","",""
"110","1","0","701","1","0","1","CONTAINS","0","0","",""
"111","1","0","702","1","0","1","CONTAIN_NAMES","0","0","",""
